condition,sender_type,receiver_type,raw_attention_mean,n_directed_edges,zero_completed_no_edge,rank_from_top,n_complete_directed_type_pairs
pre_interaction,"Neural Crest, Otic Vesicle","Neural Crest, Otic Vesicle",0.033415847657514416,56,False,51,196
pre_interaction,"Neural Crest, Otic Vesicle",Notochord,0.029006042284890978,12,False,99,196
pre_interaction,"Neural Crest, Otic Vesicle",Pronephros,0,0,True,119,196
pre_interaction,"Neural Crest, Otic Vesicle","Segmental Plate, Tail Bud",0,0,True,119,196
pre_interaction,"Neural Crest, Otic Vesicle",Somite,0.026319409720599599,2,False,112,196
pre_interaction,"Neural Crest, Otic Vesicle",Yolk Syncytial Layer,0,0,True,119,196
pre_interaction,"Neural Crest, Otic Vesicle","Yolk Syncytial Layer, Periderm",0,0,True,119,196
pre_interaction,Notochord,Angioblastic Mesenchymal Cell,0.036640292964875636,6,False,29,196
pre_interaction,Notochord,Erythroid Lineage Cell,0.03737677825130007,73,False,27,196
pre_interaction,Notochord,Forebrain,0.02938542980700725,8,False,98,196
pre_interaction,Notochord,Hatching Gland,0.031916734762489747,4,False,67,196
pre_interaction,Notochord,"Immature Eye, Midbrain",0.035720203071832601,1,False,35,196
pre_interaction,Notochord,Nervous System,0.038998299328057977,543,False,22,196
pre_interaction,Notochord,Neural Crest,0.032428059297112274,104,False,61,196
pre_interaction,Notochord,"Neural Crest, Otic Vesicle",0.035036643967032377,9,False,40,196
pre_interaction,Notochord,Notochord,0.039161138712758843,3831,False,21,196
pre_interaction,Notochord,Pronephros,0.036391760781407302,5,False,30,196
pre_interaction,Notochord,"Segmental Plate, Tail Bud",0.030790005449433666,49,False,87,196
pre_interaction,Notochord,Somite,0.032980318879708599,292,False,57,196
pre_interaction,Notochord,Yolk Syncytial Layer,0,0,True,119,196
pre_interaction,Notochord,"Yolk Syncytial Layer, Periderm",0.028645444661378801,1,False,102,196
pre_interaction,Pronephros,Angioblastic Mesenchymal Cell,0.028158971108496099,2,False,104,196
pre_interaction,Pronephros,Erythroid Lineage Cell,0.029750266587551706,49,False,95,196
pre_interaction,Pronephros,Forebrain,0.026857383549213399,1,False,110,196
pre_interaction,Pronephros,Hatching Gland,0,0,True,119,196
pre_interaction,Pronephros,"Immature Eye, Midbrain",0,0,True,119,196
pre_interaction,Pronephros,Nervous System,0.03873732872307295,2,False,23,196
pre_interaction,Pronephros,Neural Crest,0.031740702688693952,2,False,70,196
pre_interaction,Pronephros,"Neural Crest, Otic Vesicle",0.020774850621819399,1,False,118,196
pre_interaction,Pronephros,Notochord,0.031068276347858515,7,False,81,196
pre_interaction,Pronephros,Pronephros,0.033869511680677492,8,False,45,196
pre_interaction,Pronephros,"Segmental Plate, Tail Bud",0.041349984705448095,2,False,12,196
pre_interaction,Pronephros,Somite,0.026067144082238206,12,False,114,196
pre_interaction,Pronephros,Yolk Syncytial Layer,0,0,True,119,196
pre_interaction,Pronephros,"Yolk Syncytial Layer, Periderm",0,0,True,119,196
