time,pair_id,ligand,receptor,pair,score,max_edge,nonzero_edges,n_cell_types,n_expression_supported_cell_types,n_expression_unsupported_cell_types,n_expression_supported_type_edges,peak_sender,peak_receiver
3.5,"[""WNT2B"",""FZD6_LRP5""]",WNT2B,FZD6_LRP5,WNT2B_FZD6_LRP5,0.29571440613963773,0.08047781895168366,194,21,21,0,441,sfrpEGC,sfrpEGC
4.0,"[""WNT2B"",""FZD6_LRP5""]",WNT2B,FZD6_LRP5,WNT2B_FZD6_LRP5,0.1519531392554018,0.11857023999327909,151,20,20,0,400,wntEGC,wntEGC
0.0,"[""WNT2B"",""FZD6_LRP6""]",WNT2B,FZD6_LRP6,WNT2B_FZD6_LRP6,0.17795496318602336,0.09235935294589616,145,18,18,0,324,wntEGC,wntEGC
0.5,"[""WNT2B"",""FZD6_LRP6""]",WNT2B,FZD6_LRP6,WNT2B_FZD6_LRP6,0.12998002803280767,0.07937217884843352,120,19,19,0,361,wntEGC,wntEGC
1.0,"[""WNT2B"",""FZD6_LRP6""]",WNT2B,FZD6_LRP6,WNT2B_FZD6_LRP6,0.10431756144962241,0.069533263796242,131,19,19,0,361,wntEGC,wntEGC
1.5,"[""WNT2B"",""FZD6_LRP6""]",WNT2B,FZD6_LRP6,WNT2B_FZD6_LRP6,0.21681109185124697,0.11904322685571339,126,19,19,0,361,wntEGC,wntEGC
2.0,"[""WNT2B"",""FZD6_LRP6""]",WNT2B,FZD6_LRP6,WNT2B_FZD6_LRP6,0.1820504646393546,0.06697659399851456,176,18,18,0,324,wntEGC,reaEGC
2.5,"[""WNT2B"",""FZD6_LRP6""]",WNT2B,FZD6_LRP6,WNT2B_FZD6_LRP6,0.26122632920907846,0.07168531162215225,191,22,22,0,484,wntEGC,sfrpEGC
3.0,"[""WNT2B"",""FZD6_LRP6""]",WNT2B,FZD6_LRP6,WNT2B_FZD6_LRP6,0.3367609778522061,0.1866423809619619,202,21,21,0,441,wntEGC,wntEGC
3.5,"[""WNT2B"",""FZD6_LRP6""]",WNT2B,FZD6_LRP6,WNT2B_FZD6_LRP6,0.29571440613963773,0.08047781895168366,194,21,21,0,441,sfrpEGC,sfrpEGC
4.0,"[""WNT2B"",""FZD6_LRP6""]",WNT2B,FZD6_LRP6,WNT2B_FZD6_LRP6,0.15242948968018372,0.11857023999327909,157,20,20,0,400,wntEGC,wntEGC
0.0,"[""WNT2B"",""FZD7_LRP5""]",WNT2B,FZD7_LRP5,WNT2B_FZD7_LRP5,0.16668202368752846,0.11644104502183647,140,18,18,0,324,wntEGC,wntEGC
0.5,"[""WNT2B"",""FZD7_LRP5""]",WNT2B,FZD7_LRP5,WNT2B_FZD7_LRP5,0.11422771125334959,0.06620826243589757,120,19,19,0,361,wntEGC,wntEGC
1.0,"[""WNT2B"",""FZD7_LRP5""]",WNT2B,FZD7_LRP5,WNT2B_FZD7_LRP5,0.06773781360211133,0.04845902660555165,131,19,19,0,361,wntEGC,wntEGC
1.5,"[""WNT2B"",""FZD7_LRP5""]",WNT2B,FZD7_LRP5,WNT2B_FZD7_LRP5,0.16857374282439627,0.08343066501650512,126,19,19,0,361,wntEGC,wntEGC
2.0,"[""WNT2B"",""FZD7_LRP5""]",WNT2B,FZD7_LRP5,WNT2B_FZD7_LRP5,0.17453774598365787,0.06375269878379436,170,18,18,0,324,wntEGC,wntEGC
2.5,"[""WNT2B"",""FZD7_LRP5""]",WNT2B,FZD7_LRP5,WNT2B_FZD7_LRP5,0.2864880600241083,0.07829672990122659,191,22,22,0,484,sfrpEGC,sfrpEGC
3.0,"[""WNT2B"",""FZD7_LRP5""]",WNT2B,FZD7_LRP5,WNT2B_FZD7_LRP5,0.39095481724009745,0.20583864407970803,198,21,21,0,441,wntEGC,wntEGC
3.5,"[""WNT2B"",""FZD7_LRP5""]",WNT2B,FZD7_LRP5,WNT2B_FZD7_LRP5,0.3158855391783228,0.08664239799765143,194,21,21,0,441,sfrpEGC,sfrpEGC
