time,cell_index,x,y,growth,final_knn10_brain_support,retained_in_figure
3.0,1927,-0.982007,3.9850347,0.050064303,1,True
3.0,4740,1.3330045,2.8026857,0.04546532,1,True
3.0,6925,0.07565467,2.5957694,0.12632121,1,True
3.0,10350,0.85973805,2.5331671,0.028407352,1,True
3.0,15797,-0.7863153,2.934271,0.06580272,1,True
3.0,18251,1.0390931,2.515265,0.0067057144,1,True
3.0,20027,1.3160836,2.911799,0.0671779,1,True
3.0,22658,-0.45566934,2.9168086,0.15697217,1,True
3.0,26236,1.5224459,2.9517946,0.08950255,1,True
3.0,28334,0.93680084,2.1334484,0.03455422,1,True
3.0,28741,1.3637974,2.8539574,0.025762828,1,True
3.0,29303,-1.1236292,3.8203104,0.001141578,1,True
3.0,30388,0.6525047,2.4732258,0.10879352,1,True
3.0,31485,-1.2434947,3.46931,0.072821155,1,True
3.0,34331,1.137751,2.7598267,-0.008698182,1,True
3.0,36134,1.249854,2.7774675,0.053391084,1,True
3.0,36973,0.22863287,2.8687193,0.05765173,1,True
3.0,40828,0.7273176,2.8636737,0.036085278,1,True
3.0,43096,-1.0512521,3.209588,0.038527593,1,True
3.0,43165,0.9850078,2.4171977,0.022702372,1,True
3.0,43400,0.66905856,2.5847049,-0.010682842,1,True
3.0,44058,0.7494095,2.8579507,0.003119897,1,True
3.0,49278,1.3118984,2.7710052,0.22151005,1,True
3.0,50522,1.10354,2.9573915,0.019592633,1,True
3.0,56785,-0.074881166,2.8915756,0.051561125,1,True
3.0,58106,1.0744699,3.6370125,0.0037276316,1,True
3.0,60190,0.18511392,2.9136903,0.08628209,1,True
3.0,64185,0.5625119,2.630429,0.062021293,1,True
3.0,65569,-1.215865,3.648524,0.05362469,1,True
3.0,72261,0.9164965,2.8923616,0.0033991206,1,True
3.0,75042,0.7607804,2.1022542,0.07468677,1,True
3.0,76744,-0.865956,4.116027,0.07165434,1,True
3.0,76789,1.0257746,3.616286,0.028596582,1,True
3.0,77505,0.89482313,2.5051353,0.08337019,1,True
3.0,78413,0.8911518,2.4714837,0.084130876,1,True
3.0,78595,-0.5979663,2.7495098,0.052296303,1,True
3.0,78619,-0.04215609,2.9545138,0.029129444,1,True
3.0,78631,0.93927157,2.1547897,0.050272763,1,True
3.0,79343,0.9136903,2.8449185,0.05606977,1,True
3.0,80298,-0.99217796,3.1432264,0.04473684,1,True
3.0,83136,0.115990326,2.6734414,0.07618371,1,True
3.0,83694,0.883817,2.5325053,0.043143496,1,True
3.0,85485,1.0464863,2.747475,-0.031497747,1,True
3.0,86031,1.0561225,3.427426,-0.017054748,1,True
3.0,89789,0.5866681,2.483319,-0.054398388,1,True
3.0,89935,0.9663803,2.3948507,-0.026970733,1,True
3.0,91127,1.3362733,3.0904493,-0.023135992,1,True
3.0,91221,0.706067,2.8697581,-0.015684908,1,True
3.0,92003,-0.18026236,2.8659623,-0.03666284,1,True
3.0,93250,0.69745535,2.3850842,-0.041084744,1,True
3.0,93968,1.0147984,2.635077,-0.017967664,1,True
3.0,96298,0.98393476,2.7097573,-0.068522334,1,True
3.0,97351,1.2345287,3.2425258,-0.10373834,1,True
3.0,100038,1.0623997,2.83985,-0.094053,1,True
3.0,100731,0.7800596,2.837723,-0.058329567,1,True
3.0,100857,0.9822194,2.8618627,-0.05599042,1,True
3.0,103490,-1.0864917,3.771193,-0.08398057,1,True
3.0,103534,1.1055092,2.562602,-0.10165687,1,True
3.0,103586,0.99144983,2.8909755,-0.061554745,1,True
3.0,105061,0.8615745,2.7480288,-0.13998707,1,True
